epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,666.317,1.64914,0.74402,0.82899,0.88808,0.71992,0.83232,0.42649,1.83399,0.81158,0.86957,0.000665057,0.000665057,0.000665057
83,674.676,1.62645,0.74036,0.82822,0.84516,0.85942,0.89281,0.46743,1.78191,0.79628,0.86022,0.000655625,0.000655625,0.000655625
84,687.155,1.67701,0.77251,0.82493,0.9259,0.87066,0.9036,0.46295,1.76123,0.77808,0.8605,0.000646194,0.000646194,0.000646194
85,694.918,1.57482,0.72249,0.82007,0.9348,0.84062,0.89875,0.45944,1.70356,0.78851,0.85949,0.000636762,0.000636762,0.000636762
86,703.523,1.66609,0.72243,0.83368,0.8815,0.86047,0.87504,0.4301,1.92159,0.8279,0.87457,0.000627331,0.000627331,0.000627331
87,711.2,1.66564,0.73354,0.82139,0.86158,0.86728,0.89276,0.44144,1.7903,0.80328,0.87299,0.0006179,0.0006179,0.0006179
88,719.608,1.56878,0.68408,0.83,0.76712,0.83105,0.85685,0.42333,1.82779,0.81684,0.87627,0.000608468,0.000608468,0.000608468
89,727.866,1.55238,0.71545,0.81929,0.79994,0.85015,0.85006,0.42571,1.86935,0.82907,0.87201,0.000599037,0.000599037,0.000599037
90,736.149,1.61573,0.75008,0.82123,0.84293,0.88261,0.89088,0.46333,1.71455,0.80074,0.86223,0.000589605,0.000589605,0.000589605
91,744.284,1.55835,0.7262,0.82186,0.82916,0.8876,0.88969,0.47281,1.73215,0.77822,0.86441,0.000580174,0.000580174,0.000580174
92,752.382,1.57321,0.70564,0.822,0.85049,0.88585,0.90467,0.46894,1.68367,0.75512,0.86382,0.000570743,0.000570743,0.000570743
93,760.371,1.46742,0.69751,0.81451,0.92906,0.81813,0.90153,0.48684,1.65258,0.75831,0.85952,0.000561311,0.000561311,0.000561311
94,768.483,1.53712,0.69998,0.80806,0.85058,0.85708,0.88261,0.46806,1.73531,0.77727,0.86372,0.00055188,0.00055188,0.00055188
95,776.275,1.53916,0.70907,0.81359,0.82682,0.82062,0.88946,0.45125,1.78656,0.81534,0.86998,0.000542448,0.000542448,0.000542448
96,784.022,1.59446,0.7209,0.81202,0.88515,0.82547,0.90991,0.46101,1.75806,0.81334,0.86597,0.000533017,0.000533017,0.000533017
97,791.867,1.5458,0.72492,0.81827,0.89577,0.85532,0.89276,0.43555,1.82752,0.82097,0.87022,0.000523586,0.000523586,0.000523586
98,799.724,1.52875,0.70355,0.81823,0.9022,0.88077,0.90949,0.47441,1.70237,0.76749,0.86088,0.000514154,0.000514154,0.000514154
